word,vowel,F1,F2,duration (ms),interview,year,decade
anyway,any,706,1570,100,CONV,1987,1980s
anywhere,any,820,1605,90,CONV,1987,1980s
any,any,494,1320,30,CONV,1987,1980s
any,any,687,1643,30,CONV,1987,1980s
anybody,any,787,1860,90,CONV,1987,1980s
any,any,786,1760,89,CONV,1987,1980s
anyway,any,883,1816,120,CONV,1987,1980s
many,many,838,1944,40,CONV,1987,1980s
any,any,585,1476,70,CONV,1987,1980s
any,any,761,1589,30,CONV,1987,1980s
many,many,667,1545,30,CONV,1987,1980s
anything,any,777,1672,100,CONV,1987,1980s
anybody,any,807,1404,40,CONV,1987,1980s
anyway,any,818,1681,100,CONV,1987,1980s
anybody,any,661,1645,40,DOL,2011,2000s
anything,any,722,1270,30,DOL,2011,2000s
anybody,any,796,1749,69,DOL,2011,2000s
many,many,620,1788,40,DOL,2011,2000s
anybody,any,925,1604,90,DOL,2011,2000s
anything,any,754,1319,30,DOL,2011,2000s
anything,any,711,1529,51,DOL,2011,2000s
anybody,any,696,1481,50,DOL,2011,2000s
many,many,580,1939,40,DOL,2011,2000s
anybody,any,689,1349,30,DOL,2011,2000s
any,any,821,1439,31,DOL,2011,2000s
many,many,642,1717,30,DOL,2011,2000s
any,any,675,1463,50,GLR1,1999,1990s
anybody,any,877,1555,70,GLR1,1999,1990s
anything,any,646,1264,51,GLR1,1999,1990s
anymore,any,729,1857,29,GLR1,1999,1990s
many,many,621,1646,29,GLR1,1999,1990s
any,any,635,1525,31,GLR1,1999,1990s
anything,any,686,1554,41,GLR1,1999,1990s
anything,any,503,1210,30,GLR1,1999,1990s
any,any,561,1477,31,GLR1,1999,1990s
any,any,693,1375,40,GLR1,1999,1990s
anything,any,619,1458,41,GLR1,1999,1990s
many,many,645,1683,30,GLR2,1999,1990s
many,many,751,1837,30,GLR2,1999,1990s
anybody,any,790,1438,90,GLR2,1999,1990s
anyway,any,667,1640,90,GLR2,1999,1990s
anymore,any,562,1431,29,GLR2,1999,1990s
any,any,825,1653,90,GLR2,1999,1990s
anyway,any,652,1435,70,GLR2,1999,1990s
anything,any,824,1333,40,GLR2,1999,1990s
anything,any,562,1507,70,GLR2,1999,1990s
anything,any,710,1602,40,GLR2,1999,1990s
many,many,586,1723,30,JDV,1985,1980s
many,many,485,1341,30,JDV,1985,1980s
many,many,721,1730,31,JDV,1985,1980s
anything,any,726,1293,80,JEN,1983,1980s
anymore,any,427,1759,30,JEN,1983,1980s
many,many,606,1522,30,JEN,1983,1980s
anything,any,708,1376,79,JEN,1983,1980s
anyway,any,671,1478,49,JEN,1983,1980s
many,many,448,1228,50,JEN,1983,1980s
any,any,790,1412,40,JEN,1983,1980s
anybody,any,671,1189,49,JEN,1983,1980s
anything,any,750,1169,50,JEN,1983,1980s
any,any,778,1396,50,JEN,1983,1980s
many,many,623,1880,60,JNW,2011,2000s
many,many,707,1683,30,JNW,2011,2000s
anybody,any,748,1445,61,JNW,2011,2000s
anything,any,636,1213,31,JNW,2011,2000s
many,many,644,1752,40,JNW,2011,2000s
any,any,838,1716,110,JNW,2011,2000s
many,many,597,1659,49,JNW,2011,2000s
anybody,any,844,1669,70,JNW,2011,2000s
anything,any,996,1582,40,MTV,1999,1990s
anybody,any,957,1564,30,MTV,1999,1990s
anymore,any,706,1384,30,NYD,2005,2000s
anybody,any,849,1541,60,NYD,2005,2000s
many,many,700,2006,70,NYD,2005,2000s
anyway,any,733,1568,31,NYD,2005,2000s
anything,any,889,1677,90,NYD,2005,2000s
anybody,any,799,1483,40,NYD,2005,2000s
anybody,any,712,1432,150,NYD,2005,2000s
many,many,376,1806,30,STU,1985,1980s
many,many,583,1734,30,STU,1985,1980s
anybody,any,904,1650,50,STU,1985,1980s
any,any,855,1447,69,STU,1985,1980s
any,any,849,1732,51,STU,1985,1980s
anything,any,755,1408,30,STU,1985,1980s
many,many,420,1448,29,STU,1985,1980s
many,many,559,1659,31,TVAM,1984,1980s
many,many,670,1851,30,TVAM,1984,1980s
many,many,518,1201,30,TVAM,1984,1980s
any,any,712,1668,90,TVAM,1984,1980s
many,many,591,1584,30,TVAM,1984,1980s
anything,any,772,1531,40,TVAM,1984,1980s
any,any,938,1500,30,WHT,1985,1980s
anything,any,709,1772,69,WHT,1985,1980s
any,any,981,1366,30,WHT,1985,1980s
many,many,776,1687,30,WHT,1985,1980s
many,many,683,1763,31,WHT,1985,1980s
many,many,488,1735,30,WHT,1985,1980s
many,many,830,1778,30,WHT,1985,1980s
any,any,499,1610,39,WHT,1985,1980s
anything,any,675,1584,30,WHT,1985,1980s
anybody,any,686,1253,30,YOU,1985,1980s
many,many,691,1868,50,YOU,1985,1980s
any,any,781,1772,69,YOU,1985,1980s
many,many,809,1845,40,YOU,1985,1980s
