age,name,sex,vowel,stress,word,F1,F2,t
54,SB,F,AO,1,ALL,622.9,1046,8.875
54,SB,F,AY,1,MY,699.3,1093.9,9.127
54,SB,F,AY,1,LIFE,744.5,1137.5,9.258
54,SB,F,IH,1,WHICH,412.7,2122.1,9.687
54,SB,F,AH,0,IS,444.6,1540.1,9.92
54,SB,F,IH,1,FIFTY,410,2383.6,10.301
54,SB,F,IY,0,FIFTY,331.5,2463.6,10.647
54,SB,F,AO,1,FOUR,437.8,801.4,11.061
54,SB,F,IH,1,YEARS,544.4,2013,11.378
54,SB,F,AO,1,ALMOST,395.1,1005,16.18
54,SB,F,AE,1,RADCLIFFE,742.3,1015.5,16.685
54,SB,F,AY,1,MY,590.6,1196.4,17.621
54,SB,F,AE,1,DAD,714.1,1210.6,17.752
54,SB,F,AH,0,WAS,426.9,1070.5,17.913
54,SB,F,AO,1,BORN,504.8,967.7,18.089
54,SB,F,AH,0,IN,455,1607.7,18.243
54,SB,F,AY,1,WHITEFIELD,733,1209.4,18.457
54,SB,F,AH,0,AND,576.3,1390.2,19.043
54,SB,F,AY,1,MY,632.1,1284.3,19.131
54,SB,F,AH,1,MUM,482.1,1035.4,19.266
54,SB,F,AH,0,WAS,428.2,1282.3,19.563
54,SB,F,AO,1,BORN,503.8,912.5,19.759
54,SB,F,AH,0,IN,477.6,1838.4,19.913
54,SB,F,AE,1,RADCLIFFE,816,1237,20.086
54,SB,F,IH,1,WHICH,425.2,2247.3,20.546
54,SB,F,AH,0,IS,399.1,1621.2,20.733
54,SB,F,AH,0,THE,435.5,1139,20.892
54,SB,F,EH,1,NEXT,669.9,2210.3,20.976
54,SB,F,AW,1,TOWN,533,1343.6,21.48
54,SB,F,AH,0,ERM,629,1706.3,27.285
54,SB,F,AH,0,IT,556.8,903.1,27.775
54,SB,F,AH,0,HAS,594.2,1404.8,28.129
54,SB,F,AH,0,ERM,568.2,1691.3,29.655
54,SB,F,IH,1,THINGS,456.6,2471.8,31.131
54,SB,F,AY,1,LIKE,958.4,1129.4,31.456
54,SB,F,AA,1,SHOPS,751.9,1063,32.024
54,SB,F,IH,1,FITNESS,495.9,1915.8,32.434
54,SB,F,AH,0,FITNESS,461.8,1717.5,32.577
